D_REG;BRAND;MODEL;COLOR;MAKE_YEAR;FUEL;N_REG_NEW
11.03.2021;MAZDA;5;ЧОРНИЙ;2011;БЕНЗИН;ВК6035ВХ
21.01.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;СВ8670ЕА
22.05.2021;MAZDA;3;СИНІЙ;2011;БЕНЗИН;ВН6938ОО
06.07.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;АЕ5727РК
30.01.2021;MAZDA;6;БІЛИЙ;2011;БЕНЗИН АБО ГАЗ;АЕ7427ОН
13.07.2021;MAZDA;6;КОРИЧНЕВИЙ;2011;БЕНЗИН АБО ГАЗ;АН7281ОН
27.01.2021;MAZDA;6;СИНІЙ;2011;БЕНЗИН АБО ГАЗ;ВС1909МН
11.06.2021;MAZDA;3;ЧЕРВОНИЙ;2011;БЕНЗИН АБО ГАЗ;КА9489ВХ
20.07.2021;MAZDA;2;ЧЕРВОНИЙ;2011;БЕНЗИН АБО ГАЗ;АН5243ОМ
14.05.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;АХ7607КН
12.01.2021;MAZDA;2;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;АІ8856МС
26.02.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН;АХ3868КІ
06.01.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН;АР2812ІЕ
16.07.2021;MAZDA;6;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;СВ9851СТ
14.01.2021;MAZDA;3;БІЛИЙ;2011;БЕНЗИН;АР0842ІЕ
03.03.2021;MAZDA;5;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВС4744ВЕ
26.02.2021;MAZDA;3;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АЕ9184РЕ
26.01.2021;MAZDA;6;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;АВ3116ІА
17.02.2021;MAZDA;CX-7;СИНІЙ;2011;БЕНЗИН;КА8144СО
30.07.2021;MAZDA;5;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АР5041ІН
03.06.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;ВН0214ОМ
05.06.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;КА1995СА
08.01.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;ВС1151ІМ
02.04.2021;MAZDA;6;БІЛИЙ;2011;БЕНЗИН;ВТ2226ВХ
20.03.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АЕ3118РС
12.03.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;АІ3506МК
01.04.2021;MAZDA;6;СИНІЙ;2011;БЕНЗИН;АН6501НІ
01.06.2021;MAZDA;2;БІЛИЙ;2011;БЕНЗИН;АЕ9735РЕ
20.05.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН;КА7092ВВ
13.04.2021;MAZDA;6;БІЛИЙ;2011;БЕНЗИН;ВВ1600ЕХ
26.01.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АЕ2504РА
21.04.2021;MAZDA;CX-9;ЧОРНИЙ;2011;БЕНЗИН;АХ0071ВВ
13.04.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;АЕ8983РА
29.05.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;АІ2427МР
23.01.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АХ7763ІХ
13.03.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;СЕ5786СХ
09.04.2021;MAZDA;CX-7;ЧЕРВОНИЙ;2011;БЕНЗИН;ВЕ1542ЕМ
24.07.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АО5992ВТ
17.06.2021;MAZDA;5;ЧОРНИЙ;2011;БЕНЗИН;АН3440ОІ
01.06.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АХ6670ІТ
09.02.2021;MAZDA;CX-7;СИНІЙ;2011;БЕНЗИН;ВХ3682ЕІ
27.03.2021;MAZDA;CX-7;КОРИЧНЕВИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ0159ЕТ
22.01.2021;MAZDA;CX-7;КОРИЧНЕВИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВС2020АР
26.03.2021;MAZDA;3;БІЛИЙ;2011;БЕНЗИН;НК5050НК
28.01.2021;MAZDA;CX-7;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АР1170ІЕ
19.01.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;АЕ6277ОТ
14.04.2021;MAZDA;3;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВН9869ОН
30.03.2021;MAZDA;5;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВІ6202НА
10.04.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН АБО ГАЗ;КА4752СН
10.04.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;ВК8453НН
31.03.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;ВХ7573ЕО
20.03.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;ВС4353ММ
12.02.2021;MAZDA;6;КОРИЧНЕВИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВС9652МВ
22.05.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;ВС9134МІ
06.04.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;ВС3191ММ
16.01.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;ВС7598МС
13.04.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СЕ3415СХ
13.02.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;АХ0102КІ
05.02.2021;MAZDA;5;СИНІЙ;2011;БЕНЗИН;АХ0249КВ
31.03.2021;MAZDA;CX-7;ЧЕРВОНИЙ;2011;БЕНЗИН АБО ГАЗ;АЕ5910РВ
09.01.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;ВХ2303ЕР
26.03.2021;MAZDA;CX-7;СИНІЙ;2011;БЕНЗИН;КА2432АО
10.06.2021;MAZDA;BIANTE;ФІОЛЕТОВИЙ;2011;БЕНЗИН;ВТ4229СР
16.01.2021;MAZDA;CX-7;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СЕ1982СТ
28.01.2021;MAZDA;5;КОРИЧНЕВИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВХ5841ЕО
25.02.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН;АВ2759НТ
06.02.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;ВТ8230СМ
18.05.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;ВТ2963СР
27.05.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;СВ1255ЕВ
01.06.2021;MAZDA;6;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ0544ЕХ
12.02.2021;MAZDA;5;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;СА2306ІЕ
05.01.2021;MAZDA;5;ЧОРНИЙ;2011;БЕНЗИН;КА9270ВО
20.02.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;АВ3089НТ
27.02.2021;MAZDA;CX-7;ЧЕРВОНИЙ;2011;БЕНЗИН АБО ГАЗ;ВА7669ЕК
